rg,id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath,title,ref
2011_1095,2,1,kórall,635653,140029,2011,1095,1,B,NA,Lónsdýpi,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,2,2,kórall,635556,135845,2011,1095,1,B,NA,Lónsdýpi,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,2,3,kórall,635246,135448,2011,1095,1,B,NA,Lónsdýpi,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,2,4,kórall,634945,140444,2011,1095,1,B,NA,Lónsdýpi,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,2,5,kórall,635420,140741,2011,1095,1,B,NA,Lónsdýpi,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,2,6,kórall,635653,140029,2011,1095,1,B,NA,Lónsdýpi,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,1,kórall,634654,140454,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,2,kórall,634705,135905,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,3,kórall,634824,135126,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,4,kórall,634940,134915,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,5,kórall,635048,134807,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,6,kórall,635155,134634,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,7,kórall,635227,134532,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,8,kórall,635256,134501,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,9,kórall,635415,134259,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,10,kórall,635410,134024,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,11,kórall,634933,134333,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,12,kórall,634703,134806,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,13,kórall,634521,140330,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,3,14,kórall,634654,140454,2011,1095,1,C,NA,Lónsdýpi Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,4,1,kórall,635770,133350,2011,1095,1,D,NA,Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,4,2,kórall,635943,132712,2011,1095,1,D,NA,Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,4,3,kórall,635800,132540,2011,1095,1,D,NA,Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,4,4,kórall,635650,133020,2011,1095,1,D,NA,Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,4,5,kórall,635770,133350,2011,1095,1,D,NA,Papagrunn,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,5,1,kórall,632835,131640,2011,1095,1,E,NA,Rósagarður,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,5,2,kórall,632835,125860,2011,1095,1,E,NA,Rósagarður,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,5,3,kórall,633250,125460,2011,1095,1,E,NA,Rósagarður,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,5,4,kórall,633250,132050,2011,1095,1,E,NA,Rósagarður,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,5,5,kórall,632580,132050,2011,1095,1,E,NA,Rósagarður,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,5,6,kórall,632580,131890,2011,1095,1,E,NA,Rósagarður,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
2011_1095,5,7,kórall,632835,131640,2011,1095,1,E,NA,Rósagarður,2011-12-05,NA,1,1,1,1,1,0,0,1,1,NA,Reglugerð 2011_1095 um verndun kóralsvæða,http://www.reglugerd.is/interpro/dkm/WebGuard.nsf/58b439f05a7f412f00256a07003476bc/7bc1628534a2c1fd0025795f003f67c0?OpenDocument
